289,5
327,7
330,5
331,6
332,4
335,7
360,7
361,7
363,7
387,8
388,4
487,9
714,6
791,7
932,8
933,9
960,7
963,10
1005,4
1109,4
1289,8
1334,6
1345,8
1381,9
1556,6
1645,8
1829,9
1890,9
1956,8
2060,8
2078,10
2099,7
2230,9
2233,6
2347,6
2499,7
2534,7
2636,7
2750,8
2760,8
2895,8
2900,4
2909,10
3021,6
3022,8
3028,7
3038,4
3042,8
3055,10
3062,7
3064,7
3094,7
3096,8
3099,8
3109,8
3121,8
3136,9
3165,10
3178,7
3197,7
3217,7
3231,9
3257,9
3269,10
3281,7
3313,7
3315,7
3321,7
3330,8
3356,7
3358,9
3383,9
3415,9
3416,7
3440,8
3445,9
3446,8
3458,9
3494,9
3555,8
3564,9
3568,8
3603,8
3643,7
3662,8
3694,9
3763,8
3853,9
3854,8
3861,9
3869,10
3926,9
3933,8
3949,8
3957,8
3969,7
3975,7
4037,8
4062,9
4067,8
4081,10
4084,8
4114,8
4156,7
4325,10
4376,10
4379,10
4494,9
4716,8
4997,7
5019,7
5040,7
5095,7
5330,6
5425,10
5690,9
5815,10
5916,10
5986,9
5987,10
6099,7
6254,8
6352,9
6536,10
6656,8
6747,9
6748,9
6749,9
6750,9
6875,8
6989,9
7045,9
7103,8
7106,8
7132,9
7140,10
7228,9
7229,9
7230,9
7231,9
7232,9
7233,9
7248,9
7249,9
7343,8
7444,9
7640,9
7764,8
7862,9
7917,8
7919,8
7961,8
7962,8
8040,8
8160,8
8161,8
8162,8
8163,8
8222,7
8359,8
8374,8
8439,9
8440,9
8578,8
8582,8
8620,9
8758,9
8936,7
9036,8
9200,8
9453,8
9454,8
9527,10
9779,8
9780,8
9781,9
9804,8
9807,8
9831,8
9875,9
9965,10
10042,7
10167,8
10191,9
10230,8
10238,8
10283,9
10285,9
10286,9
10291,8
10299,9
10301,9
10320,8
10387,9
10388,9
10456,8
10514,9
10550,8
10583,8
10603,9
10613,9
10621,9
10622,9
10633,9
10637,9
10642,9
10643,9
10653,9
10668,9
10674,9
10689,9
10694,9
10734,7
10742,8
10751,8
10754,9
10760,9
10764,9
10779,9
10845,9
10902,9
10904,8
10915,9
10943,9
10968,9
10975,9
11015,9
11018,9
11020,9
11022,9
11045,9
11213,9
11214,9
11215,8
11324,8
11336,9
11345,9
11371,9
11380,8
11382,9
11402,9
11457,8
11523,9
11541,7
11558,8
11561,8
11580,8
11591,9
11612,7
11675,8
11676,9
11683,8
11694,9
11723,9
11842,9
11877,9
11951,9
12081,8
12502,8
12575,9
12576,9
12581,9
12586,8
12587,10
12588,8
13137,9
13171,8
13172,9
13180,8
13182,9
13186,8
13199,9
13203,9
13204,3
13205,9
13206,8
13207,8
13208,8
13209,8
13210,8
13211,7
13212,8
13213,8
13214,8
13215,8
13216,8
13217,8
13218,8
13219,7
13220,7
13221,7
13222,8
13223,7
13224,7
13225,8
13229,3
13230,3
13311,7
13384,9
13416,8
13450,9
13466,8
13471,6
13503,10
13504,7
13514,6
13517,8
13518,9
13538,10
13539,8
13540,9
13597,6
13683,10
13722,9
13739,10
13762,10
13763,8
13764,9
13938,9
13961,9
13962,9
14025,10
14282,10
14342,9
14402,9
14658,9
14819,9
15055,9
15219,9
15401,9
15876,8
15935,8
15977,8
16171,19
16172,19
16175,19
16176,19
16177,19
16178,19
16179,19
16180,19
16181,19
16182,19
16183,19
16184,19
16185,19
16186,19
16187,19
16188,19
16189,19
16190,19
16191,19
16192,19
16193,19
16194,19
16195,19
16196,19
16197,19
16198,19
16199,19
16200,19
16201,19
16202,19
16203,19
16204,19
16205,19
16206,19
16207,19
16208,19
16209,19
16210,19
16211,19
16212,19
16213,19
16214,19
16215,19
16216,19
16217,19
16218,19
16219,19
16220,19
16221,19
16222,19
16223,19
16224,19
16225,19
16226,19
16227,19
16228,19
16229,19
16230,19
16231,19
16232,19
16233,19
16234,19
16235,19
16236,19
16237,19
16238,19
16239,19
16240,19
16241,19
16242,19
16243,19
16244,19
16245,19
16246,19
16247,19
16248,19
16249,19
16250,19
16251,19
16252,19
16253,19
16254,19
16255,19
16256,19
16257,19
16258,19
16259,19
16262,26
16263,23
16264,21
16265,26
16266,21
16267,21
16268,21
16269,21
16270,26
16272,21
16273,21
16275,21
16276,23
16277,21
16278,21
16280,26
16281,25
16283,23
16284,24
16285,21
