subclass_id,subclass,event_type_id,name,Country classification,Group
23,|Horse Racing|,25493,MUSSELBURGH- R,UK,1
23,|Horse Racing|,25494,NAAS- R,IRE,1
23,|Horse Racing|,25495,NAUL,ROW,8
23,|Horse Racing|,25496,NAVAN- R,IRE,1
23,|Horse Racing|,25497,NECARNE,ROW,8
23,|Horse Racing|,25498,OLDCASTLE,ROW,8
23,|Horse Racing|,25499,OLDTOWN,ROW,8
23,|Horse Racing|,25500,PATRICKSWELL,ROW,8
23,|Horse Racing|,25501,PERTH- R,UK,1
23,|Horse Racing|,25502,POINT TO POINTERS,ROW,8
23,|Horse Racing|,25503,POWERSTOWN PARK,ROW,8
23,|Horse Racing|,25504,PUNCHESTOWN- R,IRE,1
23,|Horse Racing|,25505,QUAKERSTOWN,ROW,8
23,|Horse Racing|,25506,QUIN,ROW,8
23,|Horse Racing|,25507,RATHCANNON,ROW,8
23,|Horse Racing|,25508,RATHMORRISSEY,ROW,8
23,|Horse Racing|,25509,RATHNESTIN,ROW,8
23,|Horse Racing|,25510,RATHNURE,ROW,8
23,|Horse Racing|,25511,ROCHESTOWN,ROW,8
23,|Horse Racing|,25512,ROCKFIELD,ROW,8
23,|Horse Racing|,25513,ROSCOMMON- R,IRE,1
23,|Horse Racing|,25514,ROSSAHILLY,ROW,8
23,|Horse Racing|,25515,SANDOWN- R,ROW,8
23,|Horse Racing|,25516,SANDYFORD,ROW,8
23,|Horse Racing|,25517,SCARIFF,ROW,8
23,|Horse Racing|,25518,SKIBBEREEN,ROW,8
23,|Horse Racing|,25519,SLANEMORE,ROW,8
23,|Horse Racing|,25520,SLIGO- R,IRE,1
23,|Horse Racing|,25521,SOUTHWELL- R,UK,1
23,|Horse Racing|,25522,SPAMOUNT,ROW,8
23,|Horse Racing|,25523,SPEENOGUE,ROW,8
23,|Horse Racing|,25524,STEWARTSTOWN,ROW,8
23,|Horse Racing|,25525,STRADBALLY,ROW,8
23,|Horse Racing|,25526,STRANOCUM,ROW,8
23,|Horse Racing|,25527,STRATFORD- R,UK,1
23,|Horse Racing|,25528,SUMMERHILL,ROW,8
23,|Horse Racing|,25529,TALLANSTOWN,ROW,8
23,|Horse Racing|,25530,TALLOW,ROW,8
23,|Horse Racing|,25531,TATTERSALLS FARM,ROW,8
23,|Horse Racing|,25532,TAYLORSTOWN,ROW,8
23,|Horse Racing|,25533,TEST,ROW,8
23,|Horse Racing|,25534,THE PIGEONS,ROW,8
23,|Horse Racing|,25535,THURLES- R,IRE,1
23,|Horse Racing|,25536,TINAHELY,ROW,8
23,|Horse Racing|,25537,TIPPERARY- R,IRE,1
23,|Horse Racing|,25538,TOOMEBRIDGE,ROW,8
23,|Horse Racing|,25539,TRALEE- R,ROW,8
23,|Horse Racing|,25540,TRAMORE- R,IRE,1
23,|Horse Racing|,25541,TUAM,ROW,8
23,|Horse Racing|,25542,TYRELLA,ROW,8
23,|Horse Racing|,25543,WEST CURRAGH-NAUL,ROW,8
23,|Horse Racing|,25544,WEXFORD- R,IRE,1
23,|Horse Racing|,27072,LOUISIANA DN,US3,5
23,|Horse Racing|,27335,DARWIN,ROW,8
23,|Horse Racing|,27336,CARNARVON,ROW,8
23,|Horse Racing|,27337,TOOWOOMBA CUSHION,ROW,8
23,|Horse Racing|,27338,KALGOORLIE,ROW,8
23,|Horse Racing|,27547,COLONIAL DWN,ROW,8
23,|Horse Racing|,27980,PAEROA,ROW,8
23,|Horse Racing|,28428,SANTA ANITA.,US1,3
23,|Horse Racing|,28531,PHILADELPHIA PARK,US1,3
23,|Horse Racing|,28740,MONMOUTH PARK,US1,3
23,|Horse Racing|,29072,DELAWARE PARK***,US2,4
23,|Horse Racing|,29696,FAIR HILLS,US3,5
23,|Horse Racing|,29959,MEADOWLANDS,US3,5
23,|Horse Racing|,29960,TURF PARADISE,US3,5
23,|Horse Racing|,30658,GOLDEN GATE FIELDS,US2,4
23,|Horse Racing|,31317,SAM HOUSTON,US3,5
23,|Horse Racing|,31322,BEULAH PARK,ROW,8
23,|Horse Racing|,31365,VILLACIDRO,ROW,8
23,|Horse Racing|,31507,CAGNES MIDI,FRA,2
23,|Horse Racing|,32659,ALICE SPRINGS,ROW,8
23,|Horse Racing|,32700,WILL ROGERS DOWNS,US3,5
23,|Horse Racing|,32720,Will Rogers Downs,US3,5
23,|Horse Racing|,32843,Sandown AU,ROW,8
23,|Horse Racing|,32844,Gawler,ROW,8
23,|Horse Racing|,33192,Prairie Meadows,US3,5
23,|Horse Racing|,33194,PRAIRIE MEADOWS,US3,5
23,|Horse Racing|,33315,Epsom Downs,UK,1
23,|Horse Racing|,33316,Echuca,ROW,8
23,|Horse Racing|,33506,TAMPA BAY DOWNS,US2,4
23,|Horse Racing|,33507,FAIRMOUNT PARK,US3,5
23,|Horse Racing|,33526,Tampa Bay Downs,US2,4
23,|Horse Racing|,33676,THISTLEDOWN,US2,4
23,|Horse Racing|,33741,WAGGA,ROW,8
23,|Horse Racing|,33744,SUFFOLK DOWNS,US3,5
23,|Horse Racing|,33770,LE CROISE,FRA,2
23,|Horse Racing|,33935,FAIRMOUNT,US3,5
23,|Horse Racing|,34038,FORBURY PARK,ROW,8
23,|Horse Racing|,34080,MELTON,ROW,8
23,|Horse Racing|,34247,BELTERRA PARK,US3,5
23,|Horse Racing|,34268,NEWCASTLE AU,ROW,8
23,|Horse Racing|,34313,BROOME,ROW,8
23,|Horse Racing|,34335,CRANBOURNE,ROW,8
23,|Horse Racing|,35155,MILDURA,ROW,8
23,|Horse Racing|,35228,RANDWICK,ROW,8
23,|Horse Racing|,35303,LION D'ANGER***,FRA,2
23,|Horse Racing|,35430,HORSE EXTRA,ROW,8
23,|Horse Racing|,35736,OOSTENDE,ROW,8
23,|Horse Racing|,35804,M'PHETTVILLE,ROW,8
23,|Horse Racing|,35865,PT HEDLAND,ROW,8
23,|Horse Racing|,35869,BENDIGO,ROW,8
23,|Horse Racing|,35892,IPSWICH,ROW,8
23,|Horse Racing|,35894,CAIRNS,ROW,8
23,|Horse Racing|,35915,LAUNCESTON,ROW,8
23,|Horse Racing|,35916,SWAN HILL,ROW,8
23,|Horse Racing|,35918,MACKAY,ROW,8
23,|Horse Racing|,35920,KILMORE,ROW,8
23,|Horse Racing|,35921,STRATHALBYN,ROW,8
23,|Horse Racing|,35923,ALBURY,ROW,8
23,|Horse Racing|,35925,MORNINGTON,ROW,8
23,|Horse Racing|,35967,HOBART,ROW,8
23,|Horse Racing|,35968,GOULBURN,ROW,8
23,|Horse Racing|,36031,INDIANA GRAND,US3,5
23,|Horse Racing|,36032,HAWKESBURY,ROW,8
23,|Horse Racing|,36033,SEYMOUR,ROW,8
23,|Horse Racing|,36055,TOWNSVILLE,ROW,8
23,|Horse Racing|,36595,WARWICK FARM,ROW,8
23,|Horse Racing|,36617,GOSFORD,ROW,8
23,|Horse Racing|,36627,SCONE,ROW,8
23,|Horse Racing|,36630,LAS PIEDRAS,ROW,8
23,|Horse Racing|,36945,WODONGA,ROW,8
23,|Horse Racing|,36947,WAREGEM,ROW,8
23,|Horse Racing|,36988,BALAKLAVA,ROW,8
23,|Horse Racing|,36991,WYONG,ROW,8
23,|Horse Racing|,37013,WARRNAMBOOL,ROW,8
23,|Horse Racing|,37014,QUEANBEYAN,ROW,8
23,|Horse Racing|,37016,PORT MC'ARIE,ROW,8
23,|Horse Racing|,37017,TATURA,ROW,8
23,|Horse Racing|,37061,BALLINA,ROW,8
23,|Horse Racing|,37103,FONTAINBLEAU,FRA,2
23,|Horse Racing|,37118,ARLINGTON(SA),SA,7
23,|Horse Racing|,37144,DONALD,ROW,8
23,|Horse Racing|,37145,NOWRA,ROW,8
23,|Horse Racing|,37192,ARARAT,ROW,8
23,|Horse Racing|,37193,GRAFTON,ROW,8
23,|Horse Racing|,37194,z**BELMONT,US1,3
23,|Horse Racing|,37196,BELMONT,US1,3
23,|Horse Racing|,37295,COFF HARBOUR,ROW,8
23,|Horse Racing|,37297,KYNETON,ROW,8
23,|Horse Racing|,37298,WELLINGTON,ROW,8
23,|Horse Racing|,37300,MURRAY B'DGE,ROW,8
23,|Horse Racing|,37342,PORT LINCOLN,ROW,8
23,|Horse Racing|,37343,LISMORE,ROW,8
23,|Horse Racing|,37367,ZIA PARK,US3,5
23,|Horse Racing|,37368,CALDER RACE COURSE,ROW,8
23,|Horse Racing|,37369,GULFSTREAM PARK WEST,US2,4
23,|Horse Racing|,37623,CESSNOCK,ROW,8
23,|Horse Racing|,38093,SALE,ROW,8
23,|Horse Racing|,38094,MT GAMBIER,ROW,8
23,|Horse Racing|,38117,ORANGE,ROW,8
23,|Horse Racing|,38118,ROCKHAMPTON,ROW,8
23,|Horse Racing|,38120,KELLERBERRIN,ROW,8
23,|Horse Racing|,38986,MOONEE VALLEY,ROW,8
23,|Horse Racing|,39043,SHEPPARTON,ROW,8
