betfair,3,240,5000,,100000,50,40000
betfair,3,720,4000,,50000,50,40000
betfair,3,1440,3000,,25000,50,40000
betfair,3,2880,2000,,15000,25,40000
betfair,3,4320,1000,,10000,25,40000
betfair,4,240,10000,,250000,50,60000
betfair,4,720,7500,,100000,50,60000
betfair,4,1440,5000,,50000,50,60000
betfair,4,2880,3000,,20000,25,60000
betfair,4,4320,1500,,15000,25,60000
betfair,5,240,15000,,500000,100,75000
betfair,5,720,10000,,250000,50,75000
betfair,5,1440,7500,,100000,50,75000
betfair,5,2880,4000,,50000,25,75000
betfair,5,4320,3000,,20000,25,75000
betfair,6,240,10000,,250000,50,60000
betfair,6,720,7500,,100000,50,60000
betfair,6,1440,5000,,50000,50,60000
betfair,6,2880,3000,,20000,25,60000
betfair,6,4320,1500,,15000,25,60000
betfair,7,240,5000,,100000,50,40000
betfair,7,720,4000,,50000,50,40000
betfair,7,1440,3000,,25000,50,40000
betfair,7,2880,2000,,15000,25,40000
betfair,7,4320,1000,,10000,25,40000
betfair,8,240,1000,,15000,25,30000
betfair,8,720,1000,,15000,25,30000
betfair,8,1440,1000,,15000,25,30000
betfair,8,2880,750,,10000,25,30000
betfair,8,4320,500,,10000,25,30000
betfair,9,240,750,,10000,25,25000
betfair,9,720,750,,10000,25,25000
betfair,9,1440,750,,10000,25,25000
betfair,9,2880,500,,10000,25,25000
betfair,9,4320,400,,10000,25,25000
betfair,10,240,750,,10000,25,20000
betfair,10,720,400,,10000,25,20000
betfair,10,1440,400,,10000,25,20000
betfair,10,2880,400,,10000,25,20000
betfair,10,4320,300,,7500,25,20000
betfair,11,10,,100,,,
betfair,11,30,,70,500000,25,140000
betfair,11,120,,50,250000,25,140000
betfair,11,180,,30,,,
betfair,11,360,,20,100000,25,140000
betfair,11,1440,,10,25000,25,40000
betfair,12,10,,100,,,
betfair,12,30,,70,250000,25,140000
betfair,12,120,,50,100000,25,140000
betfair,12,360,,20,50000,25,140000
betfair,12,1440,,,25000,25,40000
betfair,13,10,,100,,,
betfair,13,20,,80,10000,25,140000
betfair,13,120,,,50000,25,140000
betfair,13,360,,40,25000,25,140000
betfair,13,1440,,,25000,25,40000
betfair,14,10,,100,,,
betfair,14,20,,80,50000,25,140000
betfair,14,120,,,50000,25,140000
betfair,14,360,,40,15000,25,140000
betfair,14,1440,,,15000,25,40000
betfair,15,10,,100,,,
betfair,15,20,,50,50000,25,100000
